startDate	Radiant_Team	Radiant_Team_Rating	Radiant_Team_mu	Radiant_Team_phi	Radiant_Team_ratingSevenDaysAgo	Dire_Team	Dire_Team_Rating	Dire_Team_mu	Dire_Team_phi	Dire_Team_ratingSevenDaysAgo	Radiant_win
1659295421.0	Wolf Team	1515.6634046445174	1669.5075030434837	61.53763935958655	1517.8867663457115	Arkosh Gaming	1317.684881722824	1458.002085357694	56.12688145394801	1320.1260009071896	True
1659292231.0	Wolf Team	1515.6634046445174	1669.5075030434837	61.53763935958655	1517.8867663457115	Arkosh Gaming	1317.684881722824	1458.002085357694	56.12688145394801	1320.1260009071896	True
1659216648.0	5RATFORCESTAFF	1421.6807469629591	1569.8139457654345	59.25327952099013	1422.3481523083133	Eternity	1341.532441515316	1483.887421354165	56.94199193553971	1343.94936113109	True
1659211440.0	5RATFORCESTAFF	1421.6807469629591	1569.8139457654345	59.25327952099013	1422.3481523083133	Eternity	1341.532441515316	1483.887421354165	56.94199193553971	1343.94936113109	True
1659207869.0	Eternity	1341.532441515316	1483.887421354165	56.94199193553971	1343.94936113109	5RATFORCESTAFF	1421.6807469629591	1569.8139457654345	59.25327952099013	1422.3481523083133	True
1659197301.0	DogChamp	1490.8670832199336	1620.1103093371069	51.69729044686933	1493.5405626255993	KBU.US	1409.122581199642	1536.2329677349762	50.844154614133714	1401.173800727212	True
1659193536.0	KBU.US	1409.122581199642	1536.2329677349762	50.844154614133714	1401.173800727212	DogChamp	1490.8670832199336	1620.1103093371069	51.69729044686933	1493.5405626255993	False
1659112485.0	Arkosh Gaming	1320.1260009071896	1458.002085357694	55.15043378020184	1322.6111266828411	The Cut	1372.2696783611989	1506.2306404178337	53.5843848226539	1367.5014692534812	False
1659108180.0	The Cut	1372.2696783611989	1506.2306404178337	53.5843848226539	1367.5014692534812	Arkosh Gaming	1320.1260009071896	1458.002085357694	55.15043378020184	1322.6111266828411	True
1658862196.0	felt	1288.2415057232988	1436.8241996241122	59.43307756032541	1290.5509385069065	Dreamers Esports	1507.7224692088744	1679.3479798219832	68.6502042452435	1509.71212666341	True
1658858883.0	Dreamers Esports	1507.7224692088744	1679.3479798219832	68.6502042452435	1509.71212666341	felt	1288.2415057232988	1436.8241996241122	59.43307756032541	1290.5509385069065	False
1658853011.0	5RATFORCESTAFF	1421.6807469629591	1569.8139457654345	59.25327952099013	1422.3481523083133	5ManMidas	1247.9714472288324	1400.2565148818328	60.91402706120021	1250.2209827838035	True
1658848164.0	5RATFORCESTAFF	1421.6807469629591	1569.8139457654345	59.25327952099013	1422.3481523083133	5ManMidas	1247.9714472288324	1400.2565148818328	60.91402706120021	1250.2209827838035	True
1658781247.0	Wolf Team	1517.8867663457115	1669.5075030434837	60.64829467910875	1520.143220226743	nouns	1707.555572603079	1856.53378658524	59.591285592864	1711.0539352769056	False
1658776420.0	Wolf Team	1517.8867663457115	1669.5075030434837	60.64829467910875	1520.143220226743	nouns	1707.555572603079	1856.53378658524	59.591285592864	1711.0539352769056	True
1658772271.0	Wolf Team	1517.8867663457115	1669.5075030434837	60.64829467910875	1520.143220226743	nouns	1707.555572603079	1856.53378658524	59.591285592864	1711.0539352769056	False
1658766038.0	Arkosh Gaming	1320.1260009071896	1458.002085357694	55.15043378020184	1322.6111266828411	Eternity	1341.532441515316	1483.887421354165	56.94199193553971	1343.94936113109	True
1658762216.0	Eternity	1341.532441515316	1483.887421354165	56.94199193553971	1343.94936113109	Arkosh Gaming	1320.1260009071896	1458.002085357694	55.15043378020184	1322.6111266828411	False
1658617305.0	Hokori	1586.540318675769	1705.0490786190728	47.40350397732154	1589.4479044267102	Wildcard Gaming	1613.251180046011	1741.3247464137248	51.2294265470855	1615.9258472721042	True
1658613599.0	Wildcard Gaming	1613.251180046011	1741.3247464137248	51.2294265470855	1615.9258472721042	Hokori	1586.540318675769	1705.0490786190728	47.40350397732154	1589.4479044267102	False
1658359237.0	Dreamers Esports	1509.71212666341	1679.3479798219832	67.85434126342933	1511.725399420464	The Cut	1367.5014692534812	1502.868386449665	54.14676687847351	1370.0332525981837	False
1658355261.0	The Cut	1367.5014692534812	1502.868386449665	54.14676687847351	1370.0332525981837	Dreamers Esports	1509.71212666341	1679.3479798219832	67.85434126342933	1511.725399420464	True
1658279587.0	KBU.US	1401.173800727212	1531.9095396516525	52.2942955697761	1403.7981414886783	Wildcard Gaming	1613.251180046011	1741.3247464137248	51.2294265470855	1615.9258472721042	False
1658268171.0	nouns	1711.0539352769056	1875.600491209177	65.8186223729087	1713.1316798115345	DogChamp	1493.5405626255993	1620.1103093371069	50.627898684603046	1496.2717447941682	True
1658264531.0	DogChamp	1493.5405626255993	1620.1103093371069	50.627898684603046	1496.2717447941682	nouns	1711.0539352769056	1875.600491209177	65.8186223729087	1713.1316798115345	True
1658182426.0	Arkosh Gaming	1322.6111266828411	1458.002085357694	54.15638346994121	1325.1427284482584	Hokori	1586.540318675769	1705.0490786190728	47.40350397732154	1589.4479044267102	False
1658178407.0	Hokori	1586.540318675769	1705.0490786190728	47.40350397732154	1589.4479044267102	Arkosh Gaming	1322.6111266828411	1458.002085357694	54.15638346994121	1325.1427284482584	True
1658171400.0	felt	1290.5509385069065	1436.8241996241122	58.50930444688234	1292.8974234186344	Eternity	1343.94936113109	1483.887421354165	55.97522408923019	1346.4087644176248	False
1658167657.0	Eternity	1343.94936113109	1483.887421354165	55.97522408923019	1346.4087644176248	felt	1290.5509385069065	1436.8241996241122	58.50930444688234	1292.8974234186344	True
